country,sentiment,conflict_count,article_id,negative_sentiment,GRSI
Botswana,0.021163912790456003,5,81,0.0,17.7
Angola,0.03148119597817787,7,71,0.0,16.3
Belize,0.13343692418692418,9,65,0.0,15.7
Ecuador,0.07452358405483404,10,60,0.0,15.0
Isle of Man,0.13580313719202608,7,63,0.0,14.700000000000001
Montenegro,0.075463603988604,9,60,0.0,14.7
San Marino,0.1983261827458256,11,56,0.0,14.5
Montserrat,0.07535326156977942,10,56,0.0,14.200000000000001
Costa Rica,0.09997678285588121,6,61,0.0,14.0
Paraguay,0.17934170386904763,4,64,0.0,14.0
Macao,0.1570988517132585,7,59,0.0,13.9
Bosnia and Herzegovina,0.04924973418394471,20,38,0.0,13.600000000000001
Cayman Islands,0.15591570976104874,5,59,0.0,13.3
Palau,0.09732683982683983,10,45,0.0,12.0
El Salvador,0.13184848484848485,10,45,0.0,12.0
Uruguay,0.016494656712048018,9,46,0.0,11.9
Congo,0.047035353535353534,11,40,0.0,11.3
Honduras,0.02789018367506739,8,43,0.0,11.0
Portugal,0.06515276626446839,5,47,0.0,10.9
Bhutan,0.06947310947310947,11,37,0.0,10.7
Liechtenstein,0.1305583852711512,4,47,0.0,10.6
Gambia,0.06407696657696657,9,37,0.0,10.1
Tajikistan,0.011751893939393935,10,32,0.0,9.4
Suriname,0.07191048881673881,2,40,0.0,8.6
Turkmenistan,-0.04239847454133169,7,21,0.04239847454133169,6.321199237270666
Vanuatu,0.06918949106449107,3,26,0.0,6.1
Burundi,0.01660401002506266,7,19,0.0,5.9
Viet Nam,0.014275362318840579,4,23,0.0,5.800000000000001
Côte d'Ivoire,0.05407647907647908,3,24,0.0,5.700000000000001
Eritrea,-0.04167748917748918,9,14,0.04167748917748918,5.520838744588745
Djibouti,0.03304120396511701,3,23,0.0,5.5
Andorra,0.1682505411255411,1,20,0.0,4.3
Martinique,0.12495143745143746,2,13,0.0,3.2
Réunion,0.07043771043771044,4,9,0.0,3.0
Cabo Verde,0.1522658402203857,2,11,0.0,2.8000000000000003
Guadeloupe,0.16666666666666669,1,4,0.0,1.1
